STATUS,CATEGORY1,CATEGORY2,CATEGORY3,MEASURE1,MEASURE2,MEASURE3,MEASURE4,MEASURE5,MEASURE6,MEASURE7,MEASURE8,MEASURE9,MEASURE10,MEASURE11,MEASURE12,MEASURE13,MEASURE14,MEASURE15,MEASURE16,MEASURE17
failed,PE,no,no,58,190361,278,366,6566,5288,4536,8941,16033,31448,51728,82473,95972,105988,141568,33180,57
failed,PE,no,no,1354,1377684,5646,8333,310695,139501,262422,375798,444736,640509,773545,890588,710065,637734,882319,288603,368
failed,PE,no,no,1138,2430073,6684,11451,88963,49134,85494,151503,218948,457327,510775,847026,646906,366052,389940,213224,200
failed,PE,no,no,539,437274,1796,1167,22808,15384,30971,58782,94470,205141,143309,210764,246709,212387,306098,122819,593
failed,PE,no,no,397,779170,1601,1562,30598,10888,14993,21046,31999,66514,81241,251902,379118,333667,616786,187006,1257
failed,PE,no,no,669,352508,7738,8661,42284,21399,20382,20291,23004,80413,80177,158782,213554,230236,506366,292769,101
failed,PE,no,no,1715,4867701,5905,7903,281637,97769,138113,234865,373204,714666,759827,1310092,1764610,1685291,2208945,806597,1733
failed,PE,no,no,222,375174,2199,3297,20808,9218,11440,16181,33395,396560,215262,216115,186572,62606,26895,9683,2
failed,PE,no,no,1758,1787065,13332,16523,230167,81181,137005,247188,384507,1362541,674682,1114953,957574,649819,984659,402752,755
failed,PE,no,no,27,80938,129,110,3064,1145,954,1259,1810,3135,6819,16311,30510,42833,36344,9035,22
failed,PE,no,no,292,251563,776,1376,17830,4039,5240,6496,9898,59651,31331,39562,58921,68092,155140,97075,160
failed,PE,no,no,81,119070,283,355,14916,4070,6857,11931,21157,76629,59742,111547,117992,79360,100492,20892,15
non-failed,PE,no,no,316,603148,2713,2399,26682,9120,7628,9083,13191,53014,85079,160689,174117,154926,317164,72342,6
non-failed,PE,no,no,1324,4017274,9907,8295,227993,82043,147120,175470,217730,411841,472542,702962,646452,602743,1150648,564109,106
non-failed,PE,no,no,2136,1308916,5322,4991,21668,17813,43210,127491,361012,3110067,653923,189419,203854,205541,709367,366942,0
non-failed,PE,no,no,2293,1365596,4549,5752,79480,36028,59927,123478,174973,320219,269181,363185,486316,536375,1224071,314138,65
non-failed,PE,no,no,1116,1397099,10483,65013,104580,21532,54120,61817,47999,828995,193779,83192,109565,115201,258044,93475,81
non-failed,PE,no,no,1737,1206183,1591,3351,182616,29427,29659,42197,89924,342080,184569,216697,492520,837672,2559585,1283793,1
non-failed,PE,no,no,6935,2961492,44168,54906,170847,66325,81832,101576,117490,220025,437021,1071138,1355364,1701490,3505326,1319249,1497
non-failed,PE,no,no,585,1272305,3076,3002,34165,17605,32642,59113,91418,226352,192297,151583,127211,76406,97328,34402,3
non-failed,PE,no,no,3480,1455493,6167,5818,54776,39707,77563,147609,217850,662022,595631,698693,829085,802546,1664488,779451,221
non-failed,PE,no,no,614,369551,4442,8095,23457,14271,20198,31257,46633,305666,158090,127181,193977,211510,574915,257363,0
non-failed,PE,no,no,74,45715,248,194,2001,261,332,146,275,937,427,1425,6471,7086,16372,2301,0
non-failed,PE,no,no,2786,4056828,27299,11917,101756,55416,79191,123590,212472,688527,697554,875071,1058617,1014732,1913616,518728,275
non-failed,PE,no,no,3880,816140,36405,37559,297630,130617,269212,461065,607540,1070027,1167850,1391005,1302228,554516,378787,158373,39
non-failed,PE,no,no,1074,1132552,2258,2446,49374,33163,56242,73070,80764,186013,99502,95523,173933,171959,570664,306911,12
non-failed,PE,no,no,1116,624571,1907,3099,24608,11726,21156,39309,79737,700866,632272,296574,212085,165578,323869,103930,6
non-failed,PE,no,no,2200,2900879,17809,10792,118290,73492,129376,214434,304347,582885,569854,717083,624695,506566,800833,290473,14
non-failed,PE,no,no,1512,642312,2169,5075,31157,14819,25250,50908,87222,426330,265641,165973,135311,108202,212106,81186,2
non-failed,PE,no,no,639,394394,1086,1473,12242,6969,12392,25566,56074,491162,173402,120789,209462,165567,374189,128028,4
non-failed,PE,no,no,1058,1959409,3899,3688,37298,23236,31114,49217,108021,919795,251584,234774,452697,490415,1450515,367162,11
non-failed,PE,no,no,720,1457766,3963,3765,18038,9302,48052,96966,138568,466140,223989,100541,87398,54212,184202,176051,0
non-failed,PE,no,no,1861,616135,11689,5447,50693,26060,39622,113058,111256,309690,194276,219227,211434,225043,561980,243654,15
non-failed,PE,no,no,1091,1547729,3446,3057,37764,14134,19896,46163,84481,693901,226374,168117,218508,245858,751723,328702,1
